,nome_do_repositorio,linguagem
0,.github,
1,ads-advanced-tools-docs,
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-sdk-csharp,C#
27,amazon-pay-sdk-java,Java
28,amazon-pay-sdk-php,PHP
29,amazon-pay-sdk-python,Python
30,amazon-pay-sdk-ruby,Ruby
31,amazon-pay-sdk-samples,PHP
32,amazon-payment-files-tools,Kotlin
33,amazon-payments-magento-2-plugin,PHP
34,amazon-ray,Python
35,amazon-s3-gst-plugin,C
36,amazon-sidewalk-android-samples,Kotlin
37,amazon-sidewalk-ios-samples,Swift
38,amazon-succinct-doc-representation,Python
39,amazon-template-library,C++
40,amazon-weak-ner-needle,Python
41,amigitenough,Go
42,amzn-drivers,C
43,amzn-ec2-ena-utilities,Python
44,auction-gym,Jupyter Notebook
45,autotrail,Python
46,aws-apigateway-client-lib,
47,aws-sigv4-signing-samples,Java
48,awsssmchaosrunner,Kotlin
49,basis-point-sets,Python
50,buy-with-prime-automate-tenant-validation,JavaScript
51,buy-with-prime-oauth-handler-ec2,JavaScript
52,buy-with-prime-saas-integration,TypeScript
53,chalet-charging-location-for-electric-trucks,Python
54,computer-vision-basics-in-microsoft-excel,
55,confident-sinkhorn-allocation,Jupyter Notebook
56,convolutional-handwriting-gan,Python
57,cosearcher,Python
58,credence-to-causal-estimation,Python
59,data-jack-knife,Java
60,debiased-balanced-interleaving,Jupyter Notebook
61,differential-privacy-bayesian-optimization,Python
62,distance-assistant,Python
63,drs-sample-android-app,Java
64,drs-sample-ios-app,Objective-C
65,emukit-playground,JavaScript
66,eslint-plugin-no-date-parsing,TypeScript
67,exoplayer-amazon-port,Java
68,explainable-text-vqa,
69,faithful-data2text-cycle-training,Python
70,fashion-attribute-disentanglement,Python
71,fire-app-builder,Java
72,firetv-sample-touch-app,Java
73,ftv-livetv-sample-tv-app,Java
74,gameon-sample-game-unity,C#
75,gameon-starter-kit-unity,C#
76,git-commit-template,JavaScript
77,glad,JavaScript
78,golang-gitoperations,Go
79,halo-third-party-sdk-for-java,Java
80,halo-third-party-sdk-for-node-js,TypeScript
81,halo-third-party-sdk-for-python,Python
82,hawktracer,C++
83,image-misspell-coling2020,
84,image-to-recipe-transformers,Python
85,ion-object-mapper-dotnet,C#
86,jekyll-doc-project,HTML
87,kqr,
88,login-with-amazon-oscommerce,PHP
89,login-with-amazon-wordpress,PHP
90,merlin-on-demand-callgraph,Java
91,metalearn-leap,Python
92,milan,Scala
93,multiconer-baseline,Python
94,multilingual-keyphrase-generation,Python
95,multimodal-affinities,Python
96,MXFusion,Python
97,nimbus-jose-jwt_aws-kms-extension,Java
98,openapi-swift-code-generate,Swift
99,orthogonal-additive-gaussian-processes,Python
100,oss-attribution-builder,TypeScript
101,oss-contribution-tracker,TypeScript
102,oss-dashboard,Ruby
103,pecos,Python
104,pretraining-or-self-training,Python
105,python-jose_aws-kms-extension,
106,rdma-core,C
107,refuel-open-domain-qa,Python
108,rete-thewebconf-2022,Python
109,rheoceros,Python
110,robotiq-gripper-interface,C++
111,sample-fire-tv-app-video-skill,Java
112,selling-partner-api-docs,HTML
113,selling-partner-api-models,Java
114,selling-partner-api-samples,Java
115,seqzero,Python
116,service-model-swift-code-generate,Swift
117,sketch-constructor,JavaScript
118,smoke-aws,Swift
119,smoke-aws-credentials,Swift
